citação,contexto
"Bill Yuchen Lin, 2025 – Zebralogic: On the scaling limits of llms for logical reasoning","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size <<(Lin et al., 2025)>>, com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;Yan et al., 2024;Xia et al., 2024)."
"Dziri, 2024 – Faith and fate: Limits of transformers on compositionality","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks <<(Dziri et al., 2024)>> and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;Yan et al., 2024;Xia et al., 2024)."
"(Zhang et al., 2024a)","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct <<(Zhang et al., 2024a)>>.A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;Yan et al., 2024;Xia et al., 2024)."
"Gaur, 2023 – Reasoning in large language models through symbolic math word problems","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial <<(Gaur and Saunshi, 2023;>>Zheng et al., 2024;Yan et al., 2024;Xia et al., 2024)."
"Zheng, 2024 – Processbench: Identifying process errors in mathematical reasoning","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;<<Zheng et al., 2024;>>Yan et al., 2024;Xia et al., 2024)."
"Yan, 2024 – Errorradar: Benchmarking complex mathematical reasoning of multimodal large language models via error detection","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;<<Yan et al., 2024;>>Xia et al., 2024)."
"Xia, 2024 – Evaluating mathematical reasoning beyond accuracy","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;Yan et al., 2024;<<Xia et al., 2024)>>."
"Xie, 2024 – Adversarial math word problem generation","Our work introduces a new controlled dimension to LLM evaluation: comparing model performance on textual vs. symbolic representations of math word problems.Recent work has used LLMs to generate word problems <<(Xie et al., 2024;>>Akyürek et al., 2023;Christ et al., 2024); in this work we are interested in systematically converting existing word problems into their equivalent mathematical equations using Python's symbolic solver, SymPy (Meurer et al., 2017).This structured transformation allows for a controlled comparison of language model performance across different representations of the same underlying problem.While previous studies have used symbolic solvers to assist language models in solving word problems (He-Yueya et al., 2023;Kao et al., 2024), to the best of our knowledge we are the first to leverage symbolic solvers to construct a controlled benchmark that enables direct comparison between textual and symbolic problem representations in LLM evaluation."
"Akyürek, 2023 – DUnE: Dataset for unified editing","Our work introduces a new controlled dimension to LLM evaluation: comparing model performance on textual vs. symbolic representations of math word problems.Recent work has used LLMs to generate word problems (Xie et al., 2024;<<Akyürek et al., 2023;>>Christ et al., 2024); in this work we are interested in systematically converting existing word problems into their equivalent mathematical equations using Python's symbolic solver, SymPy (Meurer et al., 2017).This structured transformation allows for a controlled comparison of language model performance across different representations of the same underlying problem.While previous studies have used symbolic solvers to assist language models in solving word problems (He-Yueya et al., 2023;Kao et al., 2024), to the best of our knowledge we are the first to leverage symbolic solvers to construct a controlled benchmark that enables direct comparison between textual and symbolic problem representations in LLM evaluation."
"Christ, 2024 – Mathwell: Generating educational math word problems using teacher annotations","Our work introduces a new controlled dimension to LLM evaluation: comparing model performance on textual vs. symbolic representations of math word problems.Recent work has used LLMs to generate word problems (Xie et al., 2024;Akyürek et al., 2023;<<Christ et al., 2024)>>; in this work we are interested in systematically converting existing word problems into their equivalent mathematical equations using Python's symbolic solver, SymPy (Meurer et al., 2017).This structured transformation allows for a controlled comparison of language model performance across different representations of the same underlying problem.While previous studies have used symbolic solvers to assist language models in solving word problems (He-Yueya et al., 2023;Kao et al., 2024), to the best of our knowledge we are the first to leverage symbolic solvers to construct a controlled benchmark that enables direct comparison between textual and symbolic problem representations in LLM evaluation."
