"locale_id","city","state","temperature","feels_like"
3645,"Santa Albertina","SP","26.0","27.0"
3662,"Santa Rita D'Oeste","SP","25.0","25.0"
3672,"Santo Antônio Do Pinhal","SP","18.0","18.0"
3649,"Santa Cruz Da Conceição","SP","23.0","23.0"
3671,"Santo Antônio Do Jardim","SP","22.0","22.0"
3673,"Santo Expedito","SP","26.0","27.0"
3678,"São Bernardo Do Campo","SP","18.0","18.0"
3657,"Santa Lúcia","SP","21.0","21.0"
3658,"Santa Maria Da Serra","SP","22.0","22.0"
3653,"Santa Ernestina","SP","21.0","21.0"
3680,"São Carlos","SP","20.0","20.0"
3679,"São Caetano Do Sul","SP","18.0","18.0"
3682,"São Francisco","SP","26.0","27.0"
3660,"Santana Da Ponte Pensa","SP","25.0","25.0"
3677,"São Bento Do Sapucaí","SP","19.0","19.0"
3683,"Vale Do Sol","RS","24.0","24.0"
3694,"São José Dos Campos","SP","21.0","21.0"
3666,"Santo Anastácio","SP","26.0","27.0"
3688,"São Joaquim Da Barra","SP","26.0","26.0"
3669,"Santo Antônio De Posse","SP","23.0","23.0"
3687,"São João Do Pau D'Alho","SP","27.0","28.0"
3667,"Santo André","SP","18.0","18.0"
3674,"Santópolis Do Aguapeí","SP","23.0","23.0"
3690,"São José Das Laranjeiras","SP","23.0","23.0"
3693,"São José Do Rio Preto","SP","23.0","23.0"
3692,"São José Do Rio Pardo","SP","25.0","25.0"
3670,"Santo Antônio Do Aracanguá","SP","25.0","25.0"
3695,"São Lourenço Da Serra","SP","18.0","18.0"
3675,"Santos","SP","22.0","22.0"
3699,"Monte Alto","SP","23.0","23.0"
3681,"Vale Real","RS","25.0","25.0"
3697,"Mongaguá","SP","23.0","23.0"
3684,"São João Da Boa Vista","SP","24.0","24.0"
3702,"Monte Castelo","SP","28.0","28.0"
3703,"Monteiro Lobato","SP","19.0","19.0"
3685,"São João Das Duas Pontes","SP","26.0","26.0"
3706,"Morro Agudo","SP","26.0","27.0"
3704,"Monte Mor","SP","22.0","22.0"
3686,"São João De Iracema","SP","28.0","29.0"
3701,"Monte Azul Paulista","SP","24.0","24.0"
3705,"Monte Verde Paulista","SP","23.0","23.0"
3689,"São José Da Bela Vista","SP","25.0","25.0"
3707,"Morungaba","SP","21.0","21.0"
3712,"Natividade Da Serra","SP","18.0","18.0"
3709,"Murutinga Do Sul","SP","26.0","27.0"
3711,"Narandiba","SP","25.0","25.0"
3710,"Nantes","SP","24.0","24.0"
3708,"Motuca","SP","23.0","23.0"
3696,"São Luiz Do Paraitinga","SP","19.0","19.0"
3715,"Nhandeara","SP","26.0","27.0"
3713,"Nazaré Paulista","SP","20.0","20.0"
3698,"Monte Alegre Do Sul","SP","20.0","20.0"
3716,"Nipoã","SP","24.0","24.0"
