"locale_id","city","state","temperature","feels_like","latitude","longitude"
3310,"Palmópolis","MG","22.0","22.0","-16.7","-40.4"
3312,"Passa Tempo","MG","22.0","22.0","-20.7","-44.5"
3315,"Patis","MG","24.0","24.0","-16.1","-44.1"
3313,"Passa Vinte","MG","22.0","22.0","-22.2","-44.2"
3316,"Patrocínio Do Muriaé","MG","23.0","23.0","-21.2","-42.2"
3318,"Paulistas","MG","22.0","22.0","-18.4","-42.9"
3314,"Passabém","MG","21.0","21.0","-19.4","-43.1"
3319,"Pavão","MG","24.0","24.0","-17.4","-41.0"
3320,"Pedra Bonita","MG","19.0","19.0","-20.5","-42.3"
3323,"Pedra Do Indaiá","MG","23.0","23.0","-20.3","-45.2"
3324,"Pedralva","MG","22.0","22.0","-22.2","-45.5"
3325,"Pedro Teixeira","MG","22.0","22.0","-21.7","-43.7"
3322,"Pedra Do Anta","MG","21.0","21.0","-20.6","-42.7"
3328,"Perdigão","MG","22.0","22.0","-20.0","-45.1"
3326,"Pequeri","MG","24.0","24.0","-21.8","-43.1"
3317,"Paula Cândido","MG","20.0","20.0","-20.9","-43.0"
3330,"Periquito","MG","25.0","25.0","-19.2","-42.2"
3329,"Perdões","MG","22.0","22.0","-21.1","-45.1"
3331,"Pescador","MG","26.0","27.0","-18.4","-41.6"
3332,"Peçanha","MG","22.0","22.0","-18.5","-42.6"
3333,"Piau","MG","24.0","24.0","-21.5","-43.3"
3321,"Pedra Dourada","MG","20.0","20.0","-20.8","-42.2"
3327,"Pequi","MG","23.0","23.0","-19.6","-44.7"
3336,"Piedade Dos Gerais","MG","21.0","21.0","-20.5","-44.2"
3334,"Piedade De Caratinga","MG","21.0","21.0","-19.8","-42.1"
3338,"Pintópolis","MG","24.0","24.0","-16.1","-45.2"
3341,"Rio Preto","MG","22.0","22.0","-22.1","-43.8"
3339,"Piracema","MG","22.0","22.0","-20.5","-44.5"
3340,"Piranga","MG","19.0","19.0","-20.7","-43.3"
3342,"Rio Vermelho","MG","22.0","22.0","-18.3","-43.0"
3344,"Ritápolis","MG","20.0","20.0","-21.0","-44.3"
3343,"Rio Do Prado","MG","23.0","23.0","-16.6","-40.6"
3335,"Piedade De Ponte Nova","MG","22.0","22.0","-20.2","-42.7"
3345,"Buriti Do Tocantins","TO","25.0","25.0","-5.3","-48.2"
3350,"Carrasco Bonito","TO","25.0","25.0","-5.3","-48.0"
3348,"Cariri Do Tocantins","TO","25.0","25.0","-11.9","-49.2"
3349,"Carmolândia","TO","26.0","27.0","-7.0","-48.4"
3347,"Campos Lindos","TO","24.0","24.0","-8.0","-46.9"
3352,"Centenário","TO","23.0","23.0","-9.0","-47.3"
3351,"Caseara","TO","24.0","24.0","-9.3","-50.0"
3354,"Porto Calvo","AL","26.0","29.0","-9.0","-35.4"
3356,"Cachoeira Alta","GO","27.0","27.0","-18.8","-50.9"
3355,"Planalto","BA","21.0","21.0","-14.7","-40.5"
3346,"Cachoeirinha","TO","25.0","25.0","-6.1","-47.9"
3353,"Chapada Da Natividade","TO","24.0","24.0","-11.6","-47.8"
3357,"Castro","PR","19.0","19.0","-24.8","-50.0"
3358,"Chapada De Areia","TO","25.0","25.0","-10.1","-49.1"
3360,"Colméia","TO","24.0","24.0","-8.7","-48.8"
3363,"Couto Magalhães","TO","26.0","27.0","-8.3","-49.2"
3362,"Conceição Do Tocantins","TO","25.0","25.0","-12.2","-47.3"
3361,"Combinado","TO","26.0","27.0","-12.8","-46.5"
3365,"Crixás Do Tocantins","TO","25.0","25.0","-11.1","-48.9"
3367,"Dianópolis","TO","24.0","24.0","-11.6","-46.8"
3366,"Darcinópolis","TO","25.0","25.0","-6.7","-47.8"
3368,"Divinópolis Do Tocantins","TO","25.0","25.0","-9.8","-49.2"
3364,"Cristalândia","TO","25.0","25.0","-10.6","-49.2"
3359,"Colinas Do Tocantins","TO","25.0","25.0","-8.1","-48.5"
3369,"Dois Irmãos Do Tocantins","TO","25.0","25.0","-9.3","-49.1"
3372,"Esperantina","TO","25.0","25.0","-5.3","-48.5"
3373,"Fátima","TO","24.0","24.0","-10.8","-48.9"
3370,"Guanhães","MG","20.0","20.0","-18.8","-42.9"
3371,"Dueré","TO","25.0","25.0","-11.3","-49.3"
3375,"Estância","GO","24.0","24.0","-17.4","-52.0"
3374,"Figueirópolis","TO","26.0","27.0","-12.1","-49.2"
3380,"Firminópolis","GO","25.0","25.0","-16.6","-50.3"
3376,"Filadélfia","TO","24.0","24.0","-7.3","-47.5"
3379,"Goianorte","TO","25.0","25.0","-8.8","-48.9"
3378,"Fortaleza Do Tabocão","TO","23.0","23.0","-9.1","-48.5"
3377,"Formoso Do Araguaia","TO","26.0","27.0","-11.8","-49.5"
3381,"Goiatins","TO","24.0","24.0","-7.7","-47.3"
3385,"Itaguatins","TO","24.0","24.0","-5.8","-47.5"
3382,"Guaraí","TO","23.0","23.0","-8.8","-48.5"
3384,"Ipueiras","TO","25.0","25.0","-11.2","-48.5"
3386,"Itapiratins","TO","24.0","24.0","-8.4","-48.1"
3387,"Caraíva","BA","26.0","27.0","-16.8","-39.1"
3388,"Itaporã Do Tocantins","TO","23.0","23.0","-8.6","-48.7"
3390,"Juarina","TO","26.0","27.0","-8.1","-49.1"
3389,"Jaú Do Tocantins","TO","24.0","24.0","-12.7","-48.6"
3392,"Divino De São Lourenço","ES","22.0","22.0","-20.6","-41.7"
3391,"Lagoa Da Confusão","TO","24.0","24.0","-10.8","-49.6"
